AREA_NAME,Crime_Type,Total_Count
Bendale South,THEFTFROMMV,2789.6946002
Bendale South,THEFTOVER,173.728035935
Bendale-Glen Andrew,ASSAULT,10111.0762944
Bendale-Glen Andrew,AUTOTHEFT,3360.5258486
Bendale-Glen Andrew,BIKETHEFT,425.80432806
Bendale-Glen Andrew,BREAKENTER,1929.33064254
Bendale-Glen Andrew,HOMICIDE,36.046549793
Bendale-Glen Andrew,ROBBERY,2898.53687301
Bendale-Glen Andrew,SHOOTING,203.824367513
Bendale-Glen Andrew,THEFTFROMMV,3565.9357447
Bendale-Glen Andrew,THEFTOVER,626.13907622
Birchcliffe-Cliffside,ASSAULT,9123.3312989
Birchcliffe-Cliffside,AUTOTHEFT,1470.14211261
Birchcliffe-Cliffside,BIKETHEFT,632.7944234
Birchcliffe-Cliffside,BREAKENTER,3211.2566681
Birchcliffe-Cliffside,HOMICIDE,21.618594647000002
Birchcliffe-Cliffside,ROBBERY,1072.55483624
Birchcliffe-Cliffside,SHOOTING,21.262104988
Birchcliffe-Cliffside,THEFTFROMMV,4375.1974764
Birchcliffe-Cliffside,THEFTOVER,301.01430797
Black Creek,ASSAULT,12127.6834104
Black Creek,AUTOTHEFT,3207.9730988
Black Creek,BIKETHEFT,314.146574452
Black Creek,BREAKENTER,1558.2666397
Black Creek,HOMICIDE,48.598338602
Black Creek,ROBBERY,1724.7778245499999
Black Creek,SHOOTING,644.8393631
Black Creek,THEFTFROMMV,2895.6830464
Black Creek,THEFTOVER,546.09581185
Blake-Jones,ASSAULT,8902.597351
Blake-Jones,AUTOTHEFT,934.42131426
Blake-Jones,BIKETHEFT,1816.8518263
Blake-Jones,BREAKENTER,3245.0802001
Blake-Jones,HOMICIDE,39.99462223
Blake-Jones,ROBBERY,1592.94904698
Blake-Jones,SHOOTING,280.47094535
Blake-Jones,THEFTFROMMV,2608.0217515
Blake-Jones,THEFTOVER,292.80327415
Briar Hill-Belgravia,ASSAULT,5752.919464
Briar Hill-Belgravia,AUTOTHEFT,2023.64120478
Briar Hill-Belgravia,BIKETHEFT,632.480233725
Briar Hill-Belgravia,BREAKENTER,2806.6793518
Briar Hill-Belgravia,HOMICIDE,23.047443389999998
Briar Hill-Belgravia,ROBBERY,1377.64342885
Briar Hill-Belgravia,SHOOTING,138.19095802
Briar Hill-Belgravia,THEFTFROMMV,3170.7719916
Briar Hill-Belgravia,THEFTOVER,422.46517751
Bridle Path-Sunnybrook-York Mills,ASSAULT,3825.9273528999997
Bridle Path-Sunnybrook-York Mills,AUTOTHEFT,2654.69746979
Bridle Path-Sunnybrook-York Mills,BIKETHEFT,588.925749326
Bridle Path-Sunnybrook-York Mills,BREAKENTER,5371.2180023
Bridle Path-Sunnybrook-York Mills,HOMICIDE,0
Bridle Path-Sunnybrook-York Mills,ROBBERY,427.8077641
Bridle Path-Sunnybrook-York Mills,SHOOTING,109.930490493
Bridle Path-Sunnybrook-York Mills,THEFTFROMMV,2262.2993519
Bridle Path-Sunnybrook-York Mills,THEFTOVER,546.518928526
Broadview North,ASSAULT,5512.1336059000005
Broadview North,AUTOTHEFT,722.55468559
Broadview North,BIKETHEFT,1231.804795192
Broadview North,BREAKENTER,1763.8732911099999
Broadview North,HOMICIDE,37.098049164
Broadview North,ROBBERY,549.33807563
Broadview North,SHOOTING,46.483874319
Broadview North,THEFTFROMMV,2151.0708744
Broadview North,THEFTOVER,185.222472198
Brookhaven-Amesbury,ASSAULT,7649.2763367
Brookhaven-Amesbury,AUTOTHEFT,2978.4315338
Brookhaven-Amesbury,BIKETHEFT,293.965593387
Brookhaven-Amesbury,BREAKENTER,2107.7457504
Brookhaven-Amesbury,HOMICIDE,44.71247959
Brookhaven-Amesbury,ROBBERY,1419.76375586
Brookhaven-Amesbury,SHOOTING,223.539215087
Brookhaven-Amesbury,THEFTFROMMV,2895.6638433000003
Brookhaven-Amesbury,THEFTOVER,484.433373449
Cabbagetown-South St.James Town,ASSAULT,11562.826476
Cabbagetown-South St.James Town,AUTOTHEFT,1255.95141222
Cabbagetown-South St.James Town,BIKETHEFT,5312.2879967
Cabbagetown-South St.James Town,BREAKENTER,6289.3186645
Cabbagetown-South St.James Town,HOMICIDE,38.156547542
Cabbagetown-South St.James Town,ROBBERY,2009.4977494
Cabbagetown-South St.James Town,SHOOTING,57.510175708999995
Cabbagetown-South St.James Town,THEFTFROMMV,7571.100102
Cabbagetown-South St.James Town,THEFTOVER,544.6330452
Caledonia-Fairbank,ASSAULT,6664.495392
Caledonia-Fairbank,AUTOTHEFT,1373.87642681
Caledonia-Fairbank,BIKETHEFT,349.377860263
Caledonia-Fairbank,BREAKENTER,1362.7862166300001
Caledonia-Fairbank,HOMICIDE,10.450902939
Caledonia-Fairbank,ROBBERY,957.82755469
Caledonia-Fairbank,SHOOTING,105.660801893
Caledonia-Fairbank,THEFTFROMMV,1874.66316837
Caledonia-Fairbank,THEFTOVER,233.378988265
Casa Loma,ASSAULT,4467.9776001
Casa Loma,AUTOTHEFT,1490.54671864
Casa Loma,BIKETHEFT,1520.52033616
Casa Loma,BREAKENTER,2858.9575194999998
Casa Loma,HOMICIDE,9.714596748
Casa Loma,ROBBERY,648.188796074
Casa Loma,SHOOTING,19.00571537
Casa Loma,THEFTFROMMV,2036.65531335
Casa Loma,THEFTOVER,457.97537994
Centennial Scarborough,ASSAULT,3535.0445555
Centennial Scarborough,AUTOTHEFT,1316.93215181
Centennial Scarborough,BIKETHEFT,203.730977531
Centennial Scarborough,BREAKENTER,1333.866436
Centennial Scarborough,HOMICIDE,16.268042088
Centennial Scarborough,ROBBERY,472.28845168000004
Centennial Scarborough,SHOOTING,40.679978375
Centennial Scarborough,THEFTFROMMV,2941.94885238
Centennial Scarborough,THEFTOVER,168.935692311
Church-Wellesley,ASSAULT,18707.061646000002
Church-Wellesley,AUTOTHEFT,1065.9929084799999
Church-Wellesley,BIKETHEFT,6119.1332105
Church-Wellesley,BREAKENTER,4887.3012391
Church-Wellesley,HOMICIDE,60.937536723
Church-Wellesley,ROBBERY,2805.7434996
Church-Wellesley,SHOOTING,51.978035928
Church-Wellesley,THEFTFROMMV,4085.8036815
Church-Wellesley,THEFTOVER,960.70280639
Clairlea-Birchmount,ASSAULT,11974.737488300001
Clairlea-Birchmount,AUTOTHEFT,2651.6919021
Clairlea-Birchmount,BIKETHEFT,558.02838046
Clairlea-Birchmount,BREAKENTER,3787.2686769
Clairlea-Birchmount,HOMICIDE,50.653875833
Clairlea-Birchmount,ROBBERY,1642.58944509
Clairlea-Birchmount,SHOOTING,147.183137884
Clairlea-Birchmount,THEFTFROMMV,5340.5980897
Clairlea-Birchmount,THEFTOVER,538.57362176
Clanton Park,ASSAULT,5671.6954955
Clanton Park,AUTOTHEFT,4658.7795411
Clanton Park,BIKETHEFT,548.6968464
Clanton Park,BREAKENTER,3144.0211639
Clanton Park,HOMICIDE,13.335366726
Clanton Park,ROBBERY,848.58826063
Clanton Park,SHOOTING,84.953035364
Clanton Park,THEFTFROMMV,4084.5660886
Clanton Park,THEFTOVER,448.62923623
Cliffcrest,ASSAULT,8310.616028299999
Cliffcrest,AUTOTHEFT,1738.22943116
Cliffcrest,BIKETHEFT,292.0763352
Cliffcrest,BREAKENTER,2819.6446761
Cliffcrest,HOMICIDE,34.262219906
Cliffcrest,ROBBERY,1509.3005448
Cliffcrest,SHOOTING,94.883016105
Cliffcrest,THEFTFROMMV,4739.3623804
Cliffcrest,THEFTOVER,304.52387714
Corso Italia-Davenport,ASSAULT,7390.918274
Corso Italia-Davenport,AUTOTHEFT,1431.15875248
Corso Italia-Davenport,BIKETHEFT,845.53015977
Corso Italia-Davenport,BREAKENTER,2394.4116593
Corso Italia-Davenport,HOMICIDE,23.475326537999997
Corso Italia-Davenport,ROBBERY,1466.459206594
Corso Italia-Davenport,SHOOTING,109.137588033
Corso Italia-Davenport,THEFTFROMMV,2426.4365983000002
Corso Italia-Davenport,THEFTOVER,359.37821673999997
Danforth,ASSAULT,9831.1826784
Danforth,AUTOTHEFT,1265.64957808
Danforth,BIKETHEFT,2794.6026986
Danforth,BREAKENTER,4273.0461884
Danforth,HOMICIDE,66.104348192
Danforth,ROBBERY,2245.1264725
Danforth,SHOOTING,109.248076447
Danforth,THEFTFROMMV,4332.4253566
Danforth,THEFTOVER,405.04740716
Danforth East York,ASSAULT,4817.5544433
Danforth East York,AUTOTHEFT,1283.41109463
Danforth East York,BIKETHEFT,794.5470520700001
Danforth East York,BREAKENTER,1712.69813531
Danforth East York,HOMICIDE,6.577556133
Danforth East York,ROBBERY,503.66246794
Danforth East York,SHOOTING,26.429754257
Danforth East York,THEFTFROMMV,3452.9243929
Danforth East York,THEFTOVER,231.443816674
Don Valley Village,ASSAULT,5804.4270936
Don Valley Village,AUTOTHEFT,2159.39124296
Don Valley Village,BIKETHEFT,301.603560104
Don Valley Village,BREAKENTER,2057.9453354
Don Valley Village,HOMICIDE,26.933522701
Don Valley Village,ROBBERY,1320.02513888
Don Valley Village,SHOOTING,80.69754005
Don Valley Village,THEFTFROMMV,3118.1835333
Don Valley Village,THEFTOVER,445.69387243
Dorset Park,ASSAULT,8490.4231873
Dorset Park,AUTOTHEFT,2978.3306275
Dorset Park,BIKETHEFT,291.757111046
Dorset Park,BREAKENTER,3464.4018708
Dorset Park,HOMICIDE,53.409006836
Dorset Park,ROBBERY,1659.47614295
Dorset Park,SHOOTING,274.336282733
Dorset Park,THEFTFROMMV,4044.3979694
Dorset Park,THEFTOVER,469.16010665
Dovercourt Village,ASSAULT,7063.4477845
Dovercourt Village,AUTOTHEFT,1235.99977109
Dovercourt Village,BIKETHEFT,2704.4476858
Dovercourt Village,BREAKENTER,3425.8102569
Dovercourt Village,HOMICIDE,41.441435339
Dovercourt Village,ROBBERY,1721.417015
Dovercourt Village,SHOOTING,41.640324597
Dovercourt Village,THEFTFROMMV,3745.1288445
Dovercourt Village,THEFTOVER,291.11665059
Downsview,ASSAULT,9945.7593998
Downsview,AUTOTHEFT,4035.8686676
Downsview,BIKETHEFT,476.01496784
Downsview,BREAKENTER,2654.5363616
Downsview,HOMICIDE,42.484427453
Downsview,ROBBERY,1466.2908172
Downsview,SHOOTING,227.50710105
Downsview,THEFTFROMMV,4413.4425245
Downsview,THEFTOVER,629.41885758
Downtown Yonge East,ASSAULT,37912.287598
Downtown Yonge East,AUTOTHEFT,2446.3918457
Downtown Yonge East,BIKETHEFT,11981.2215834
Downtown Yonge East,BREAKENTER,9154.5543827
Downtown Yonge East,HOMICIDE,70.494876387
Downtown Yonge East,ROBBERY,7901.7810669
Downtown Yonge East,SHOOTING,245.48192691
Downtown Yonge East,THEFTFROMMV,12959.7555054
Downtown Yonge East,THEFTOVER,1674.82484448
Dufferin Grove,ASSAULT,8874.9614871
Dufferin Grove,AUTOTHEFT,1145.46050643
Dufferin Grove,BIKETHEFT,3532.0621086
Dufferin Grove,BREAKENTER,3178.4187927
Dufferin Grove,HOMICIDE,18.144843578
Dufferin Grove,ROBBERY,2093.41536532
Dufferin Grove,SHOOTING,116.912791244
Dufferin Grove,THEFTFROMMV,3474.6955045
Dufferin Grove,THEFTOVER,514.99206162
East End-Danforth,ASSAULT,10054.460266
East End-Danforth,AUTOTHEFT,1595.80971533
East End-Danforth,BIKETHEFT,2276.2717807
East End-Danforth,BREAKENTER,3812.9827575
East End-Danforth,HOMICIDE,43.941473488
East End-Danforth,ROBBERY,1677.21960454
East End-Danforth,SHOOTING,87.657254219
East End-Danforth,THEFTFROMMV,4616.2109739
East End-Danforth,THEFTOVER,450.55225372
East L'Amoreaux,ASSAULT,4409.0829773000005
East L'Amoreaux,AUTOTHEFT,1032.8642845
East L'Amoreaux,BIKETHEFT,132.053043257
East L'Amoreaux,BREAKENTER,1601.94812774
East L'Amoreaux,HOMICIDE,5.477678776
East L'Amoreaux,ROBBERY,961.58565143
East L'Amoreaux,SHOOTING,105.824648853
East L'Amoreaux,THEFTFROMMV,1680.70777733
East L'Amoreaux,THEFTOVER,244.152569767
East Willowdale,ASSAULT,3257.4425812
East Willowdale,AUTOTHEFT,2190.58810425
East Willowdale,BIKETHEFT,604.570212926
East Willowdale,BREAKENTER,3732.6411134
East Willowdale,HOMICIDE,0
East Willowdale,ROBBERY,1299.25453181
East Willowdale,SHOOTING,67.434536933
East Willowdale,THEFTFROMMV,2975.1004873
East Willowdale,THEFTOVER,432.68065834
Edenbridge-Humber Valley,ASSAULT,2244.0966338
Edenbridge-Humber Valley,AUTOTHEFT,2768.1044844
Edenbridge-Humber Valley,BIKETHEFT,346.87954386
Edenbridge-Humber Valley,BREAKENTER,2868.33644848
Edenbridge-Humber Valley,HOMICIDE,0
Edenbridge-Humber Valley,ROBBERY,386.37993239
Edenbridge-Humber Valley,SHOOTING,77.505615704
Edenbridge-Humber Valley,THEFTFROMMV,3092.5905278
Edenbridge-Humber Valley,THEFTOVER,319.456434253
Eglinton East,ASSAULT,9475.9361572
Eglinton East,AUTOTHEFT,1552.50854871
Eglinton East,BIKETHEFT,275.366262016
Eglinton East,BREAKENTER,2558.76618963
Eglinton East,HOMICIDE,57.241107464
Eglinton East,ROBBERY,1850.94349673
Eglinton East,SHOOTING,293.391203881
Eglinton East,THEFTFROMMV,3371.2010562
Eglinton East,THEFTOVER,303.659320826
Elms-Old Rexdale,ASSAULT,6687.5693664
Elms-Old Rexdale,AUTOTHEFT,3421.61680595
Elms-Old Rexdale,BIKETHEFT,256.80809848
Elms-Old Rexdale,BREAKENTER,1250.61883529
Elms-Old Rexdale,HOMICIDE,33.568804740000004
Elms-Old Rexdale,ROBBERY,1530.64224236
Elms-Old Rexdale,SHOOTING,457.85446549
Elms-Old Rexdale,THEFTFROMMV,3011.4925885000002
Elms-Old Rexdale,THEFTOVER,200.39827824
Englemount-Lawrence,ASSAULT,5326.55542
Englemount-Lawrence,AUTOTHEFT,1926.74539958
Englemount-Lawrence,BIKETHEFT,746.5079025800001
Englemount-Lawrence,BREAKENTER,2086.30444345
Englemount-Lawrence,HOMICIDE,15.692204952
Englemount-Lawrence,ROBBERY,953.60489082
Englemount-Lawrence,SHOOTING,376.71835709
Englemount-Lawrence,THEFTFROMMV,2758.3050914
Englemount-Lawrence,THEFTOVER,337.652828221
